_id,branch,slot,sem,subcode[0],subcode[1],subcode[2],subcode[3],subcode[4],subcode[5],subcode[6]
645532886c991f17286e2559,CS,D,4,CST206,,,,,,
645532886c991f17286e2573,EE,F,4,MCN202,,,,,,
645532886c991f17286e257c,CE,C,4,CET204,,,,,,
645532886c991f17286e2585,ME,F,4,MCN202,,,,,,
645532886c991f17286e2592,AD,A,5,ADT301,,,,,,
645532886c991f17286e25a1,EE,D,5,EET307,,,,,,
645532886c991f17286e25c6,AD,E,6,HUT300,,,,,,
645532886c991f17286e25d3,EE,F,6,EET308,,,,,,
645532886c991f17286e25d6,EC,C,6,ECT306,,,,,,
645532886c991f17286e25dc,CE,C,6,CET306,,,,,,
645532886c991f17286e25e1,ME,B,6,MET304,,,,,,
645532886c991f17286e25e6,CS,A,7,CST401,,,,,,
645532886c991f17286e25e9,CS,D,7,MCN401,,,,,,
645532886c991f17286e25f3,CC,B,7,CST413,CCT423,CCT433,CCT443,CST453,CST463,CST473
645532886c991f17286e2611,AD,D,8,CST418,CST428,CST438,CST448,CST458,CST468,CST478
645532886c991f17286e2612,CC,A,8,CCT402,,,,,,
645532886c991f17286e2618,EE,C,8,EET416,EET426,EET436,EET446,EET456,EET466,EET476
645532886c991f17286e2620,CE,C,8,CET416,CET426,CET436,CET446,CET456,CET466,CET476
645532886c991f17286e2634,AD,E,1,HUN101,,,,,,
645532886c991f17286e2649,ME,A,1,MAT101,,,,,,
645532886c991f17286e264d,ME,E,1,HUN101,,,,,,
645532886c991f17286e2657,CA,D,2,EST120,EST130,,,,,
645532886c991f17286e2665,CC,F,2,EST102,,,,,,
645532886c991f17286e2674,CE,C,2,EST100,EST110,,,,,
645532886c991f17286e267c,ME,E,2,HUN102,,,,,,
645532886c991f17286e2536,AD,E,3,EST200,HUT200,,,,,
645532886c991f17286e253e,EE,A,3,MAT201,,,,,,
645532886c991f17286e2552,ME,C,3,MET203,,,,,,
645532886c991f17286e255a,CS,E,4,EST200,HUT200,,,,,
645532886c991f17286e2599,CC,B,5,CST303,,,,,,
645532886c991f17286e25a0,EE,C,5,EET305,,,,,,
645532886c991f17286e25b3,ME,D,5,MET307,,,,,,
645532886c991f17286e25be,CA,C,6,CST306,,,,,,
645532886c991f17286e25c0,CA,E,6,HUT300,,,,,,
645532886c991f17286e25c4,AD,C,6,CST306,,,,,,
645532886c991f17286e25c9,CC,B,6,CCT304,,,,,,
645532886c991f17286e25d8,EC,E,6,HUT300,HUT310,,,,,
645532886c991f17286e25dd,CE,D,6,CET312,CET322,CET332,CET342,CET352,CET362,CET372
645532886c991f17286e25e4,ME,E,6,HUT300,HUT310,,,,,
645532886c991f17286e25eb,CA,B,7,AIT 413,CST 423,CST 433,CST 443,AIT 453,CST 463,CST 473
645532886c991f17286e25f2,CC,A,7,CCT401,,,,,,
645532886c991f17286e2617,EE,B,8,EET414,EET424,EET434,EET444,EET454,EET464,EET474
645532886c991f17286e2624,ME,C,8,MET416,MET426,MET436,MET446,MET456,MET466,MET476
645532886c991f17286e2628,CS,C,1,EST100,EST110,,,,,
645532886c991f17286e263a,EE,A,1,MAT101,,,,,,
